time,icao24,lat,lon,velocity,altitude
1645415060,a98909,40.27825307,-75.05584717,187.6705532,6743.7
1645415070,a98909,40.26829089,-75.07307573,187.3607591,6743.7
1645415080,a98909,40.25793457,-75.09094238,187.2604426,6743.7
1645415090,a98909,40.24772644,-75.10845947,187.2604426,6743.7
1645415100,a98909,40.23747253,-75.12615967,187.2604426,6743.7
1645415110,a98909,40.22704561,-75.1440499,187.5718134,6743.7
1645415120,a98909,40.21714783,-75.16101074,187.5718134,6743.7
1645415130,a98909,40.20693504,-75.17856945,187.9812447,6743.7
1645415140,a98909,40.19650269,-75.19659424,188.4923097,6743.7
1645415150,a98909,40.18670654,-75.21356201,188.0811767,6743.7
1645415160,a98909,40.17611746,-75.23187811,187.9812447,6743.7
1645415170,a98909,40.1658783,-75.24938965,188.292829,6743.7
1645415180,a98909,40.15562439,-75.26696777,188.292829,6743.7
1645415190,a98909,40.14557919,-75.28412559,187.6705532,6743.7
1645415200,a98909,40.13515149,-75.30197837,187.4758449,6743.7
1645415210,a98909,40.12495655,-75.31926935,187.8840767,6743.7
1645415220,a98909,40.1145754,-75.33693487,188.292829,6743.7
1645415230,a98909,40.10452012,-75.35410101,187.9812447,6743.7
1645415240,a98909,40.09432518,-75.37164168,187.9812447,6743.7
1645415250,a98909,40.08399058,-75.3893072,187.5718134,6743.7
1645415260,a98909,40.07384219,-75.40659818,187.5718134,6743.7
1645415270,a98909,40.06332139,-75.42457581,187.1629004,6743.7
1645415280,a98909,40.05331266,-75.4416171,187.1629004,6743.7
1645415290,a98909,40.04302461,-75.45915777,186.8508482,6743.7
1645415300,a98909,40.0328064,-75.4765625,187.1629004,6743.7
1645415310,a98909,40.02268982,-75.49371338,186.4417735,6743.7
1645415320,a98909,40.01248634,-75.51109314,186.4417735,6743.7
1645415330,a98909,40.00222778,-75.52856445,186.0332219,6751.32
1645415340,a98909,39.99214302,-75.5456751,186.4417735,6751.32
1645415350,a98909,39.98194808,-75.5627164,186.8005598,6751.32
1645415360,a98909,39.97152038,-75.57969527,188.0825838,6743.7
1645415370,a98909,39.96080017,-75.5970459,188.0825838,6751.32
1645415380,a98909,39.95013428,-75.61437988,187.7607842,6751.32
1645415390,a98909,39.93958554,-75.63150579,187.439844,6751.32
1645415400,a98909,39.9292975,-75.6482974,187.439844,6751.32
1645415410,a98909,39.91864014,-75.66558838,187.7607842,6751.32
1645415420,a98909,39.9082489,-75.68248583,187.3593465,6751.32
1645415430,a98909,39.8973999,-75.70004007,187.3593465,6751.32
1645415440,a98909,39.88728333,-75.71640015,187.3593465,6751.32
1645415450,a98909,39.87661743,-75.73365585,187.7607842,6751.32
1645415460,a98909,39.86599731,-75.75097126,188.1627719,6751.32
1645415470,a98909,39.8555603,-75.76798812,188.1627719,6751.32
1645415480,a98909,39.84489441,-75.78536324,188.1627719,6751.32
1645415490,a98909,39.83413696,-75.80285777,188.1627719,6743.7
1645415500,a98909,39.82390323,-75.81939697,187.3593465,6705.6
1645415510,a98909,39.81335449,-75.83641384,185.9129726,6652.26
1645415520,a98909,39.80296326,-75.85325158,184.8687279,6606.54
1645415530,a98909,39.79252625,-75.87020874,183.3420966,6553.2
1645415540,a98909,39.78219242,-75.88684082,182.9410894,6507.48
1645415550,a98909,39.771698,-75.90376481,182.2177786,6446.52
1645415560,a98909,39.76144409,-75.92030401,181.8957881,6408.42
1645415570,a98909,39.75142139,-75.9364624,181.1726865,6355.08
1645415580,a98909,39.74121094,-75.95302416,179.7265905,6309.36
1645415590,a98909,39.73104858,-75.96950365,178.6017396,6256.02
1645415600,a98909,39.72125554,-75.98535156,177.8786376,6202.68
1645415610,a98909,39.71147957,-76.00115967,176.7540048,6149.34
1645415620,a98909,39.70100532,-76.01800537,176.7540048,6096
1645415630,a98909,39.69122935,-76.03369141,176.353024,6050.28
1645415640,a98909,39.68136028,-76.04956055,176.7540048,5996.94
1645415650,a98909,39.67111878,-76.06604004,176.6761284,5913.12
1645415660,a98909,39.66142273,-76.08151643,175.9526334,5821.68
1645415670,a98909,39.65162659,-76.09721972,174.8292351,5730.24
1645415680,a98909,39.64151001,-76.11346037,173.7823509,5631.18
